,study_name,d1_joe,d1_rebecca,joe review decision,joe comment,rebecca review decision,rebecca comment,d2_joe,d2_rebecca,joe review decision,joe comment,rebecca review decision,rebecca comment,d3_joe,d3_rebecca,joe review decision,joe comment,rebecca review decision,rebecca comment,d4_joe,d4_rebecca,joe review decision,joe comment
1,Albrechtova 2012,No,No,,,,,No,Partially,No,No details of inclusion criteria given at all,,,No,Partially,No,No QC reported,,,Yes,Yes,,
2,Andriatahina 2010,Yes,Yes,,,,,Yes,Yes,,,,,No,Partially,No,No QC reported,,,Yes,Yes,,
3,Chereau 2015,Yes,Yes,,,,,No,Partially,Partially,Pregnant women only - but all neonates,,,No,Partially,No,No QC reported,,,Yes,Yes,,
4,Chirindze 2018,No,Yes,Yes,OK they do give age I missed it,,,No,No,,,,,Yes,Yes,,,,,Yes,Yes,,
5,Desta 2016,Yes,Partially,Partially,No sex breakdown by age,,,Yes,Yes,,,,,Yes,Yes,,,,,Yes,Yes,,
6,Djuikoue 2016,Yes,Yes,,,,,No,No,,,,,No,Partially,No,No QC reported,,,Yes,Yes,,
7,Farra 2016,Yes,Yes,,,,,No,Yes,No,Controls of diarrhoea study (age and sex matched) rather than true population estimate,,,No,Partially,No,No QC reported,,,No,Yes,Yes,I thought they didn't give details of souble disk test but if you follow refs through they do
8,Founou 2018,Yes,Partially,Partially,No sex breakdown by age,,,Yes,Yes,,,,,No,Yes,Yes,missed the QC,,,Yes,Yes,,
9,Herindrainy 2011,Yes,Yes,,,,,Yes,Yes,,,,,No,Partially,No,No Qcreported,,,Yes,Yes,,
10,Herindrainy 2018,Yes,Yes,,,,,No,No,,,,,Yes,Yes,,,,,Yes,Yes,,
11,Isendahl 2012,Yes,Yes,,,,,No,Partially,No,Fever and tachy only - biased sample,,,No,Partially,No,No QC reported,,,Yes,Yes,,
12,Katakweba 2018,No,No,,,,,No,Yes,Partially,No details of how household member was selected,,,No,Partially,Partially ,no details of biochemical testing,,,Yes,Yes,,
13,Kurz 2016,Yes,Yes,,,,,Yes,Yes,,,,,No,Partially,No,No QC reported,,,Yes,Yes,,
14,Lonchel 2012,Yes,Yes,,,,,No,Yes,Partially,Outpatients is fine but student volunteers is a biased sample,,,No,Partially,No,No QC reported,,,Yes,Yes,,
15,Lonchel 2013,Yes,Yes,,,,,Yes,Yes,,,,,No,Partially,No,No QC reported,,,Yes,Yes,,
16,Magoue 2013,Yes,Yes,,,,,No,Partially ,Partially,No details given about how participants were selected,,,No,Partially,No,No QC reported,,,No,Yes,Yes,I thought they didn't give details of souble disk test but if you follow refs through they do
17,Magwenzi 2017,Yes,Partially,Partially,No sex breakdown by age,,,Yes,Yes,,,,,Yes,Yes,,,,,No,Yes,Yes,dunno what I was on about here
18,Marando 2018,Yes,Yes,,,,,No,No,,,,,No,Partially,No,No QC reported,,,Yes,Yes,,
19,Moremi 2017,Yes,Partially,Yes,They give mean age and sex,,,No,No,,,,,Yes,Yes,,,,,Yes,Yes,,
20,Moremi 2018,No,No,,,,,Yes,Partially ,No,Only patients admitted for surgery - missed that,,,No,Partially,No,No QC reported,,,No,Yes,,
21,Mshana 2016,Yes,Partially,Yes,they give median age and sex prop,,,Yes,Yes,,,,,No,Partially,No,No QC reported,,,Yes,Yes,,
22,Nelson 2014,Yes,Yes,,,,,No,Yes,Partially,Only pregnant women -biased community sample - neonates is ok,,,No,Yes,Partially ,Details of biochemical tests not given,,,Yes,Yes,,
23,Nikiema Pessinaba 2018,Yes,Yes,,,,,No,No,,,,,No,Partially,No,No details of speciation that I can find,,,No,Partially,Partially,Only say use CA-SFM guidelines
24,Ribeiro 2016,No,No,,,,,No,Partially,No,No details at all of how people were selected,,,No,Partially,No,No QC reported,,,No,Partially,Partially ,OK agree
25,Ruppe 2009,Yes,No,Yes,Oh yes they do give age,,,No,Yes,No,"Weirdly selected random ""remote"" village and no details of how they select the kids - high risk of bias",,,No,Partially,No,No QC reported,,,Yes,Yes,,
26,Sanneh 2018,Yes,Yes,,,,,No,Partially,No,Food handlers - biased sample,,,No,Partially,No,No QC reported,,,Yes,Yes,,
27,Schaumburg 2013,No,Partially,Partially,Yep ok agree,,,Yes,Yes,,,,,No,Partially,No,No QC reported,,,Yes,Yes,,
28,Stanley 2018,Yes,Yes,,,,,No,No,,,,,Yes,Yes,,,,,Yes,Yes,,
29,Tande 2009,No,No,,,,,No,No,,,,,No,Partially,No,No QC reported,,,No,Yes,Partially,No details of which cephalosporin
30,Tellevik 2016,Yes,Yes,,,,,Yes,Yes,,,,,Yes,Yes,,,,,Yes,Yes,,
31,Wilmore 2017,Yes,Yes,,,,,No,No,,,,,No,Partially,No,No QC reported,,,Yes,Yes,,
32,Woerther 2011,Yes,Yes,,,,,No,No,,,,,No,Partially,No,No QC reported,,,Yes,Yes,,
